Plot,Rate,Rep,Lab_C,B_gluc,Chit,Phos,Sulf,a_gluc,Xyl,Tot_Nem,Para,Fung,Bact,Pred,Omn,Total Predatory & omnivores/100 g,ln_Tot,ln_para,ln_fung,ln_bact,ln_pred+om,Div_H',MI,PPI,EI,SI,CI,B:F,Det,Pred,Roots,Fu2 100,Ba1 100,Ba2 100,Ba3 100,Ca3 100,Ca4 100,Om4 100,Ecto,Endo,taxa,Heli_d,Roty_r,Cric,Tyl,Aph,Rhabd,Pang,Ceph,Plect,Monhy,Trip,Mono,Doryl
R3-4,400,4,NA,NA,NA,NA,NA,NA,NA,2170,1929,23,23,80,115,195.1492063,7.68,7.57,3.18,3.18,5.28,0.52,0.39,2.67,83,97,20,1,4,28,68,23,23,0,0,0,80,115,1929,0,7,11,1917,0,11,11,0,23,0,0,0,0,80,115
R4-4,500,4,NA,NA,NA,NA,NA,NA,NA,2945,2511,13,25,115,280,395.1493506,7.99,7.83,2.62,3.28,5.98,0.67,0.55,2.56,90,99,11,1,3,37,60,13,25,0,0,13,102,280,2511,0,8,64,2447,0,13,0,13,13,0,0,0,13,102,280
R1-5,200,5,NA,NA,NA,NA,NA,NA,NA,820,417,37,59,59,249,307.5,6.71,6.04,3.63,4.09,5.73,1.25,1.66,1.53,88,97,14,1,14,64,22,37,59,0,0,0,59,249,417,0,6,0,417,0,37,0,7,51,0,0,0,0,59,249
R2-5,300,5,NA,NA,NA,NA,NA,NA,NA,568,267,59,42,42,159,200.6117647,6.34,5.59,4.09,3.76,5.31,1.62,1.66,1.41,79,93,26,0,18,61,21,59,42,0,0,17,25,159,267,0,10,8,251,8,33,25,8,33,0,0,0,17,25,159
R3-5,400,5,NA,NA,NA,NA,NA,NA,NA,783,552,20,50,60,100,160.574359,6.66,6.32,3.05,3.94,5.08,1.23,0.9,2.12,92,97,9,1,16,44,40,20,50,0,0,25,35,100,552,0,9,15,522,15,20,0,5,45,0,0,0,25,35,100
R4-5,500,5,NA,NA,NA,NA,NA,NA,NA,2220,1938,10,68,19,185,204.4736842,7.71,7.57,2.37,4.24,5.33,0.53,0.4,2.62,97,99,3,1,9,27,64,10,68,0,0,10,10,185,1938,0,7,0,1938,0,10,0,29,39,0,0,0,10,10,185
R1-6,200,6,NA,NA,NA,NA,NA,NA,NA,563,212,28,33,45,245,289.7584158,6.33,5.36,3.36,3.54,5.67,1.45,2.22,1.13,78,97,24,1,9,77,14,28,22,0,6,17,28,245,212,0,10,11,201,0,28,0,6,17,0,6,6,17,28,245
R2-6,300,6,NA,NA,NA,NA,NA,NA,NA,819,569,14,21,7,208,215.1084746,6.71,6.35,2.7,3.08,5.38,0.82,1.12,2.08,77,98,20,1,5,57,38,14,14,0,0,0,7,208,569,0,6,0,569,0,14,0,0,14,0,7,0,0,7,208
R3-6,400,6,NA,NA,NA,NA,NA,NA,NA,1336,911,10,20,81,314,394.6090909,7.2,6.82,2.41,3.06,5.98,0.91,1.2,2.05,90,99,11,1,4,61,36,10,20,0,0,20,61,314,911,0,6,0,911,0,10,0,0,20,0,0,0,20,61,314
R4-6,500,6,NA,NA,NA,NA,NA,NA,NA,1230,940,9,43,77,162,239.1666667,7.12,6.85,2.26,3.78,5.48,0.9,0.78,2.29,95,99,5,1,9,44,47,9,43,0,0,51,26,162,940,0,8,0,931,9,9,0,17,26,0,0,0,51,26,162
