Plot,N.Rate,Rep,Sample.no,Full.name,Substrate,CO2,Abs_no_water
R2.5,300,5,5273,N.Acetyl.D.glucosamine,NADG,0.51138161,0.2397
R2.6,300,6,5277,N.Acetyl.D.glucosamine,NADG,0.512157883,0.2477
R3.1,400,1,5254,N.Acetyl.D.glucosamine,NADG,0.642315913,0.2703
R3.2,400,2,5260,N.Acetyl.D.glucosamine,NADG,0.637156002,0.2331
R3.3,400,3,5266,N.Acetyl.D.glucosamine,NADG,0.488076457,0.2442
R3.4,400,4,5270,N.Acetyl.D.glucosamine,NADG,0.347030636,0.0427
R3.5,400,5,5274,N.Acetyl.D.glucosamine,NADG,0.485635422,0.2093
R3.6,400,6,5278,N.Acetyl.D.glucosamine,NADG,0.55567667,0.2391
R4.1,500,1,5255,N.Acetyl.D.glucosamine,NADG,0.477755193,0.193
R4.2,500,2,5261,N.Acetyl.D.glucosamine,NADG,0.472403342,0.1937
R4.3,500,3,5267,N.Acetyl.D.glucosamine,NADG,0.50369725,0
R4.4,500,4,5271,N.Acetyl.D.glucosamine,NADG,0.484997834,0.2322
R4.5,500,5,5275,N.Acetyl.D.glucosamine,NADG,0.462615812,0.1849
R4.6,500,6,5279,N.Acetyl.D.glucosamine,NADG,0.564462752,0.2375
R0.1,0,1,5250,Oxalic.acid,Oxa,2.962845032,0.5675
R0.2,0,2,5256,Oxalic.acid,Oxa,2.691535055,0.5494
R0.3,0,3,5262,Oxalic.acid,Oxa,2.618498943,0.6919
R0.4,0,4,5263,Oxalic.acid,Oxa,2.035403219,0.6588
R0.5,0,5,5251,Oxalic.acid,Oxa,3.413959729,0.5798
R0.6,0,6,5257,Oxalic.acid,Oxa,2.279194021,0.5136
R1.1,200,1,5252,Oxalic.acid,Oxa,2.716004338,0.6603
R1.2,200,2,5258,Oxalic.acid,Oxa,2.019712126,0.5426
R1.3,200,3,5264,Oxalic.acid,Oxa,1.734992234,0.665
R1.4,200,4,5268,Oxalic.acid,Oxa,1.834600513,0.1511
R1.5,200,5,5272,Oxalic.acid,Oxa,2.039553293,0.7021
R1.6,200,6,5276,Oxalic.acid,Oxa,2.551907567,0.6597
R2.1,300,1,5253,Oxalic.acid,Oxa,2.989890941,0.6631
R2.2,300,2,5259,Oxalic.acid,Oxa,1.635437454,0.5245
R2.3,300,3,5265,Oxalic.acid,Oxa,2.155370277,0.7122
R2.4,300,4,5269,Oxalic.acid,Oxa,1.637550705,0.6631
R2.5,300,5,5273,Oxalic.acid,Oxa,2.269857654,0.6179
R2.6,300,6,5277,Oxalic.acid,Oxa,2.3338345,0.6911
R3.1,400,1,5254,Oxalic.acid,Oxa,2.344857806,0.5662
R3.2,400,2,5260,Oxalic.acid,Oxa,1.451401789,0.468
R3.3,400,3,5266,Oxalic.acid,Oxa,2.459834978,0.6699
R3.4,400,4,5270,Oxalic.acid,Oxa,2.189436915,0.7152
R3.5,400,5,5274,Oxalic.acid,Oxa,2.430381916,0.664
R3.6,400,6,5278,Oxalic.acid,Oxa,2.33204013,0.6093
R4.1,500,1,5255,Oxalic.acid,Oxa,2.096213085,0.6218
R4.2,500,2,5261,Oxalic.acid,Oxa,1.541144845,0.5798
R4.3,500,3,5267,Oxalic.acid,Oxa,2.09728298,0
R4.4,500,4,5271,Oxalic.acid,Oxa,1.750462074,0.6264
R4.5,500,5,5275,Oxalic.acid,Oxa,2.309781244,0.6492
R4.6,500,6,5279,Oxalic.acid,Oxa,2.724485385,0.6026
R0.1,0,1,5250,Protocatechuic.acid,Prot,2.900882196,0.5934
R0.2,0,2,5256,Protocatechuic.acid,Prot,0.569344178,0.2213
R0.3,0,3,5262,Protocatechuic.acid,Prot,0.467072139,0.1924
R0.4,0,4,5263,Protocatechuic.acid,Prot,0.48874943,0.2124
R0.5,0,5,5251,Protocatechuic.acid,Prot,0.480190789,0.1821
R0.6,0,6,5257,Protocatechuic.acid,Prot,0.580924237,0.2275
R1.1,200,1,5252,Protocatechuic.acid,Prot,0.447933701,0.155
R1.2,200,2,5258,Protocatechuic.acid,Prot,0.543657619,0.221
R1.3,200,3,5264,Protocatechuic.acid,Prot,0.353425741,0.0232
R1.4,200,4,5268,Protocatechuic.acid,Prot,0.456841118,0.2497
R1.5,200,5,5272,Protocatechuic.acid,Prot,0.395508231,0.235
R1.6,200,6,5276,Protocatechuic.acid,Prot,0.46863672,0.1844
R2.1,300,1,5253,Protocatechuic.acid,Prot,0.485310893,0.2034
R2.2,300,2,5259,Protocatechuic.acid,Prot,0.527109784,0.191
R2.3,300,3,5265,Protocatechuic.acid,Prot,0.421114741,0.1686
R2.4,300,4,5269,Protocatechuic.acid,Prot,0.401183315,0.1315
R2.5,300,5,5273,Protocatechuic.acid,Prot,0.409989758,0.0974
R2.6,300,6,5277,Protocatechuic.acid,Prot,0.501643712,0.2437
R3.1,400,1,5254,Protocatechuic.acid,Prot,0.523881667,0.19
R3.2,400,2,5260,Protocatechuic.acid,Prot,0.50858028,0.1589
R3.3,400,3,5266,Protocatechuic.acid,Prot,0.459037038,0.2085
R3.4,400,4,5270,Protocatechuic.acid,Prot,0.410393636,0.1515
R3.5,400,5,5274,Protocatechuic.acid,Prot,0.487603376,0.2141
R3.6,400,6,5278,Protocatechuic.acid,Prot,0.513791112,0.2104
R4.1,500,1,5255,Protocatechuic.acid,Prot,0.466843826,0.1864
R4.2,500,2,5261,Protocatechuic.acid,Prot,0.348996519,0
R4.3,500,3,5267,Protocatechuic.acid,Prot,0.496872887,0.0772
R4.4,500,4,5271,Protocatechuic.acid,Prot,0.403807001,0.1259
R4.5,500,5,5275,Protocatechuic.acid,Prot,0.483300141,0.1965
R4.6,500,6,5279,Protocatechuic.acid,Prot,0.575861156,0.1969
R0.1,0,1,5250,Water,Water,0.396454853,0
R0.2,0,2,5256,Water,Water,0.400168062,0
R0.3,0,3,5262,Water,Water,0.356311419,0
R0.4,0,4,5263,Water,Water,0.355771787,0
R0.5,0,5,5251,Water,Water,0.39091866,0
R0.6,0,6,5257,Water,Water,0.384019666,0
R1.1,200,1,5252,Water,Water,0.356886304,0
R1.2,200,2,5258,Water,Water,0.392393938,0
R2.3,200,3,5265,Water,Water,0.344141574,0
R1.4,200,4,5268,Water,Water,0.329462277,0
R1.5,200,5,5272,Water,Water,0.324789822,0
R1.6,200,6,5276,Water,Water,0.357477424,0
R2.1,300,1,5253,Water,Water,0.351818091,0
R2.2,300,2,5259,Water,Water,0.383187103,0
R2.3,300,3,5265,Water,Water,0.336360572,0
R2.4,300,4,5269,Water,Water,0.335816857,0
R2.5,300,5,5273,Water,Water,0.353517719,0
R2.6,300,6,5277,Water,Water,0.346308263,0
R3.1,400,1,5254,Water,Water,0.379370273,0
R3.2,400,2,5260,Water,Water,0.380954816,0
R3.3,400,3,5266,Water,Water,0.342594587,0
R3.4,400,4,5270,Water,Water,0.338431895,0
R3.5,400,5,5274,Water,Water,0.353408228,0
R3.6,400,6,5278,Water,Water,0.370161391,0
R4.1,500,1,5255,Water,Water,0.359148623,0
R4.2,500,2,5261,Water,Water,0.348465078,0
R4.3,500,3,5267,Water,Water,0.35205594,0
R4.4,500,4,5271,Water,Water,0.343515934,0
R4.5,500,5,5275,Water,Water,0.359579993,0
R4.6,500,6,5279,Water,Water,0.389673655,0
